q,dt,relation,y1,y2,dev
8,1.0,4,2.0,5.551115123125783e-17,5.551115123125783e-17
8,1.0,5,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,1.0,6,2.0,0.0,0.0
8,1.0,7,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,1.0,8,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,1.0,9,2.0,0.0,0.0
8,2.0,1,2.0,0.0,0.0
8,2.0,2,2.0,5.551115123125783e-17,5.551115123125783e-17
8,2.0,3,2.0,0.0,0.0
8,2.0,4,2.0,-1.1102230246251565e-16,1.1102230246251565e-16
8,2.0,5,2.0,1.1102230246251565e-16,1.1102230246251565e-16
8,2.0,6,1.9999999999999998,0.0,2.220446049250313e-16
8,2.0,7,2.0,-2.220446049250313e-16,2.220446049250313e-16
8,2.0,8,2.0,0.0,0.0
8,2.0,9,2.0,0.0,0.0
