tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,extensions,adam_seconds,lbfgs_seconds,tau_final,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15
resample_unw_T14_s9,resample_unw,14.0,9,4.289962747730038e-05,1.0513609169192532e-09,True,0.0,2.8299922215991713,60000,plateau,200000,0.0001,0,False,7,stalled,60,True,3.237467312156566e-07,2.597103237118198e-13,3.237464715053329e-07,,1.797627418205127e-05,1,138.8,20.2,,success,1.0,0.004856028619361481,,
resample_unw_T27_s0,resample_unw,27.0,0,0.9020850921111845,0.402950252280663,False,0.7289892632358386,2.000225030690112,62500,plateau,200000,0.0001,0,False,3,stalled,60,True,0.03117715206898651,2.3013449002182013e-06,0.03117485072408629,,0.0005595950640829014,1,333.7,9.6,,parked,0.6597556460570159,0.7871896675575539,1.41,2.42
resample_unw_T27_s1,resample_unw,27.0,1,0.9481202070877089,0.4481633867554041,False,0.8963346908552388,2.828795636311108,60500,plateau,200000,0.0001,0,False,13,stalled,60,True,2.4636088970649517e-06,8.689993036883193e-11,2.463521997134583e-06,,0.0007286058101784284,1,361.1,49.0,,parked,0.9925953350610884,97.27195699871494,2.77,2.83
resample_unw_T27_s2,resample_unw,27.0,2,0.9016920178283107,0.4024584042662178,False,0.7275083302480563,1.9979065059134997,60500,plateau,200000,0.0001,0,False,3,stalled,60,True,0.031355581779773406,2.1915838977495537e-06,0.03135339019587566,,0.0009435186426426104,1,345.1,10.1,,parked,0.6571640133283969,0.7976714856205448,1.42,2.4
resample_unw_T27_s3,resample_unw,27.0,3,0.902265764340707,0.403019883585474,False,0.7282487967419474,1.9987039655257415,60000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.03119450997576081,2.2478479623901324e-06,0.03119226212779842,,0.0014176968426457533,1,311.3,9.3,,parked,0.6586449463161792,0.8889732129288432,1.42,2.41
resample_unw_T27_s4,resample_unw,27.0,4,0.9022265095081752,0.4029118604578917,False,0.7275083302480563,1.9979638046350046,60250,plateau,200000,0.0001,0,False,3,stalled,60,True,0.03131148734460686,2.0842563785620157e-06,0.0313094030882283,,0.0033497146257455124,1,314.9,10.3,,parked,0.6567937800814513,0.7464686664500096,1.42,2.42
resample_unw_T27_s5,resample_unw,27.0,5,0.9015375229617675,0.4023711635900022,False,0.7278785634950018,1.9978110151940502,60000,plateau,200000,0.0001,0,False,3,stalled,60,True,0.03138257844004206,2.3962854838760622e-06,0.031380182154558185,,0.0001777840000822971,1,330.9,10.4,,parked,0.6608663457978526,0.7629367627353637,1.4000000000000001,2.41
resample_unw_T27_s6,resample_unw,27.0,6,0.9022180430550516,0.40296743253187595,False,0.728619029988893,1.9975802611661564,61250,plateau,200000,0.0001,0,False,3,stalled,60,True,0.03125991579190108,2.9303964429189985e-06,0.03125698539545816,,0.0005727669660545259,1,288.5,10.0,,parked,0.6601258793039615,0.775031722865252,1.3900000000000001,2.4
resample_unw_T27_s7,resample_unw,27.0,7,0.9017949073629988,0.40259110700130024,False,0.728619029988893,1.9976963942362709,60250,plateau,200000,0.0001,0,False,3,stalled,60,True,0.03126542852076573,2.658887432443526e-06,0.031262769633333284,,0.0017733001807047068,1,314.7,9.4,,parked,0.6575342465753424,0.7775720666267082,1.4000000000000001,2.41
resample_unw_T27_s8,resample_unw,27.0,8,0.9015675673641613,0.4023807273012508,False,0.7278785634950018,1.9978999543740033,63750,plateau,200000,0.0001,0,False,3,stalled,60,True,0.031205520625333917,2.2059553559369477e-06,0.03120331466997798,,0.0006405513988832496,1,403.6,10.7,,parked,0.6575342465753424,0.793116517180799,1.41,2.41
