tag,arm,horizon,seed,rel_l2,rho_mse,success_015,frac_near_origin,max_modulus,adam_epochs,adam_exit,adam_cap,plateau_tol,level,front_arrived,lbfgs_restarts,lbfgs_exit,lbfgs_cap,converged,loss_total,loss_ic,loss_res,loss_reg,final_grad_norm,tau_final,density,extensions,adam_seconds,lbfgs_seconds,failure_class,residual_small_fraction,residual_peak,t_rho_above_1e-2,t_relL2_above_0.15,source,periods,hours,n_points,periods_survived
pseudo_unw_T67_s3,pseudo_unw,67.0,3,0.04971068010923989,0.0011051343774759342,True,0.0,2.8317570795048748,79500,plateau,200000,0.0001,0,False,60,cap,60,False,1.976071187055401e-05,4.946968632060375e-11,1.976066240086769e-05,,0.0008421926762977048,0.5882853162377053,20.0,0,1405.7,258.3,success,1.0,0.044914011841238534,42.87,,axes,10.055097644416152,0.4622222222222222,1340,10.055097644416152
pseudo_unw_T67_s4,pseudo_unw,67.0,4,0.9652515817708516,0.4641996117296828,False,0.8958364423220415,1.9983681254270151,64000,plateau,200000,0.0001,0,False,4,stalled,60,True,0.01286183336473089,1.3323629417446234e-06,0.012860501001789145,,0.0018047564945328958,0.9397128942712423,20.0,0,1604.3,29.8,parked,0.8612147440680495,0.7539682214484842,1.3,2.29,axes,10.055097644416152,0.45391666666666663,1340,0.34367423292108934
pseudo_unw_T67_s5,pseudo_unw,67.0,5,0.5781250164008691,0.16566305737003584,False,0.2972690643187584,2.836749721427408,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,0.012750271434890383,2.3910430345084666e-08,0.012750247524460037,,0.004308937926530834,0.6629969001752265,20.0,0,1026.6,28.4,diffuse,0.8303238322638412,0.7630970089239362,39.29,45.33,axes,10.055097644416152,0.29305555555555557,1340,6.802948898826629
pseudo_unw_T67_s6,pseudo_unw,67.0,6,0.5894528529344804,0.17188397879307157,False,0.30010446202059393,2.826914976128845,61500,plateau,200000,0.0001,0,False,7,stalled,60,True,0.012845374685850995,1.1644340913755925e-08,0.012845363041510082,,0.00599784534170823,1.234058965546338,20.0,0,2657.8,73.0,parked,0.8219668706163259,0.7573611685712325,12.73,42.81,axes,10.055097644416152,0.7585555555555556,1340,6.4247571665291865
pseudo_unw_T67_s7,pseudo_unw,67.0,7,0.4985955189219803,0.12229889630838155,False,0.20161169974630652,2.8396330576188973,66250,plateau,200000,0.0001,0,False,7,stalled,60,True,0.013142130293931405,2.1875173628155628e-08,0.013142108418757778,,0.005425878789506909,0.7199381098459192,20.0,0,1157.6,27.3,diffuse,0.8253991941501269,0.7313770076669461,12.9,50.300000000000004,axes,10.055097644416152,0.32913888888888887,1340,7.548827037524365
pseudo_unw_T67_s8,pseudo_unw,67.0,8,0.5055732002778557,0.12589541512439495,False,0.203551708700194,2.8357018588657223,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,0.012938115190302532,1.9324377117960188e-10,0.01293811499705876,,0.008747732183100284,0.7140826647920387,20.0,0,1483.6,46.4,diffuse,0.8325623041337114,0.758934523899803,12.86,49.28,axes,10.055097644416152,0.425,1340,7.395749431594447
pseudo_unw_T67_s9,pseudo_unw,67.0,9,0.5291210620920181,0.1371632986337769,False,0.20474556036412475,2.829652128915033,61250,plateau,200000,0.0001,0,False,7,stalled,60,True,0.012893451922982278,1.3783608495007243e-08,0.012893438139373783,,0.017444715587811056,0.7613334667081612,20.0,0,1049.8,25.2,diffuse,0.8231607222802567,0.7539298890234059,9.51,34.9,axes,10.055097644416152,0.2986111111111111,1340,5.2376553401510995
pseudo_unw_T100_s0,pseudo_unw,100.0,0,0.7226822455190182,0.26008204461871476,False,0.49695030496950304,2.8434273062212747,65750,plateau,200000,0.0001,0,False,7,stalled,60,True,0.00862703387333341,1.2459316622427223e-08,0.008627021414016788,,0.010168351545179028,0.9246063854737736,20.0,0,4333.7,78.4,parked,0.8875112488751125,0.7588614220922241,44.050000000000004,48.78,axes,15.007608424501719,1.2255833333333332,2000,7.3207113894719384
pseudo_unw_T100_s1,pseudo_unw,100.0,1,0.7937692841065048,0.31270415696481135,False,0.5356464353564644,2.8303490846299493,65000,plateau,200000,0.0001,0,False,8,stalled,60,True,0.008816985055360552,1.3727714272020168e-08,0.00881697132764628,,0.0051583076488100595,0.8054259083499916,20.0,0,1702.4,46.6,parked,0.8431156884311569,0.7527021277103207,6.01,19.25,axes,15.007608424501719,0.48583333333333334,2000,2.888964621716581
pseudo_unw_T100_s2,pseudo_unw,100.0,2,0.6606497553788476,0.21583281939981455,False,0.3668633136686331,2.8324647118570065,60000,plateau,200000,0.0001,0,False,8,stalled,60,True,0.008738498103278506,4.12398127112206e-09,0.008738493979297235,,0.003978999456398732,0.6827971806817361,20.0,0,2267.9,65.8,parked,0.863013698630137,0.7676048210390565,9.44,39.410000000000004,axes,15.007608424501719,0.6482500000000001,2000,5.914498480096128
pseudo_unw_T100_s3,pseudo_unw,100.0,3,0.8302022367319778,0.3433096936960984,False,0.661033896610339,2.8392272111894927,60000,plateau,200000,0.0001,0,False,5,stalled,60,True,0.008594734793027156,2.1236393863895414e-09,0.00859473266938777,,0.001914198058387583,0.9336140033760632,20.0,0,3913.3,59.9,parked,0.889011098890111,0.7593952711890296,9.41,30.57,axes,15.007608424501719,1.1036666666666668,2000,4.587825895370176
pseudo_unw_T100_s4,pseudo_unw,100.0,4,0.9416285587986484,0.44227270056189866,False,0.8624137586241376,2.8265342560653277,60000,plateau,200000,0.0001,0,False,5,stalled,60,True,0.00848516487223026,5.363163966607654e-09,0.008485159509066293,,0.007242897369764225,0.9440526294655475,20.0,0,1519.5,33.1,parked,0.9005099490050995,0.7763305703923135,7.83,10.13,axes,15.007608424501719,0.43127777777777776,2000,1.5202707334020242
pseudo_unw_T100_s5,pseudo_unw,100.0,5,0.9052461712543411,0.40872312172007497,False,0.7948205179482052,2.8273069686326484,60000,plateau,200000,0.0001,0,False,5,stalled,60,True,0.008522056758638872,3.161895464398314e-08,0.008522025139684229,,0.01627942079925626,0.9408726833739396,20.0,0,2301.0,43.7,parked,0.8938106189381062,0.7716612397978272,12.73,17.1,axes,15.007608424501719,0.6513055555555555,2000,2.566301040589794
