horizon,seed,outer,loss_total,loss_start,loss_residual
7.0,1,4,2.8238679884663525e-05,9.303757000714359e-09,2.822937612766281e-05
7.0,1,5,1.2938685770181766e-05,4.931413966659088e-09,1.2933754356215107e-05
7.0,2,0,0.015467829295981289,0.000407965896829879,0.01505986339915141
7.0,2,1,0.01123728690722772,0.00033515514204303793,0.010902131765184682
7.0,2,2,0.0006905707511510621,7.648283861651387e-06,0.0006829224672894107
7.0,2,3,6.265989152465773e-05,1.6556231986802356e-07,6.24943292047897e-05
7.0,2,4,9.826512471316375e-06,1.042629508474264e-09,9.8254698418079e-06
7.0,2,5,2.2892245362963862e-06,6.017125065100568e-10,2.2886228237898763e-06
14.0,0,0,0.06184580917501515,3.0459492648482387e-05,0.06181534968236667
14.0,0,1,0.060849771300626826,1.67182579465395e-05,0.06083305304268029
14.0,0,2,0.060536447963653456,1.011133636618736e-05,0.06052633662728727
14.0,0,3,0.06037063539098436,8.793861934791346e-06,0.06036184152904957
14.0,1,0,0.06177794462842523,1.3477262774558525e-05,0.06176446736565067
14.0,1,1,0.06064302378195632,1.311128744562281e-05,0.0606299124945107
14.0,1,2,0.06053560688285066,7.554948286849911e-06,0.06052805193456381
14.0,1,3,0.06052005872271699,7.910440573797787e-06,0.06051214828214319
14.0,2,0,0.06364800203337163,5.171479925286876e-05,0.06359628723411877
14.0,2,1,0.06109566409682644,1.3216033933504415e-05,0.06108244806289293
14.0,2,2,0.06064303593689312,7.983711704165345e-06,0.06063505222518895
14.0,2,3,0.060555609329677594,7.3906308060375966e-06,0.06054821869887156
27.0,0,0,0.03717050946283445,6.344365869305774e-05,0.037107065804141394
27.0,0,1,0.032461839790201036,6.48334937276516e-06,0.03245535644082827
27.0,0,2,0.031671477224277926,4.911168146020471e-06,0.031666566056131905
27.0,0,3,0.03142840557060816,3.83464438044989e-06,0.031424570926227705
27.0,0,4,0.031313972041925875,2.5833407054173667e-06,0.03131138870122046
27.0,1,0,0.035057040967099676,7.90536726340544e-05,0.03497798729446562
27.0,1,1,0.031865397553225594,2.8833614450845635e-06,0.03186251419178051
27.0,1,2,0.031505143397237985,2.285608338981001e-06,0.031502857788899004
27.0,1,3,0.03142254070123431,2.2518533108246004e-06,0.031420288847923486
27.0,1,4,0.031405544665569454,2.1714589790269812e-06,0.03140337320659043
27.0,2,0,0.035493195812601595,4.8461097761928126e-05,0.035444734714839665
27.0,2,1,0.03340007213708984,1.7315227257484223e-05,0.033382756909832355
27.0,2,2,0.032003746483812816,7.173342653223149e-06,0.03199657314115959
27.0,2,3,0.03164830981916412,4.149665280045212e-06,0.03164416015388407
27.0,2,4,0.03151967538324783,3.9065995696339385e-06,0.0315157687836782
27.0,2,5,0.03145592796201333,2.4500883602148374e-06,0.031453477873653116
40.0,0,0,0.06914376377483208,0.0001529154240744083,0.06899084835075768
40.0,0,1,0.05118873275656532,2.098344641534397e-05,0.051167749310149974
40.0,0,2,0.04916690316202384,1.8592310677272564e-06,0.04916504393095611
40.0,0,3,0.048446773669398674,1.4658541159155305e-06,0.04844530781528276
40.0,0,4,0.048131880701712045,9.659858661174864e-07,0.04813091471584593
40.0,0,5,0.047544839781307385,5.617445189975243e-07,0.04754427803678839
40.0,1,0,0.02481769982445266,4.267413971054364e-05,0.024775025684742116
40.0,1,1,0.022104964497729043,3.0829262855300856e-06,0.022101881571443514
40.0,1,2,0.0215646057463721,1.571477960810883e-06,0.021563034268411288
40.0,1,3,0.02132930511148279,8.609114940063172e-07,0.021328444199988784
40.0,1,4,0.02126124203512613,1.4560974004935363e-06,0.021259785937725637
40.0,1,5,0.021226856095019286,1.3923390120573184e-06,0.02122546375600723
40.0,2,0,0.027496968641709245,4.13688226992667e-05,0.02745559981900998
40.0,2,1,0.023501440617207384,1.774088248503595e-05,0.02348369973472235
40.0,2,2,0.02230489391455986,6.918678643902778e-06,0.022297975235915958
40.0,2,3,0.021988817151136705,8.308099416853426e-06,0.021980509051719853
40.0,2,4,0.021530819054034672,3.1350345875951104e-06,0.021527684019447078
40.0,2,5,0.021449435486766002,2.8336503496223425e-06,0.02144660183641638
