loss_kind,n,seed,outer,loss
data,50,1,5,2.580612168008146e-06
data,50,2,0,5.7465348598371834e-05
data,50,2,1,9.931566225949181e-06
data,50,2,2,4.055405451832068e-06
data,50,2,3,2.0840895383030913e-06
data,50,2,4,1.2846802433469296e-06
data,50,2,5,8.468167289451297e-07
data,125,0,0,7.832845844923911e-05
data,125,0,1,1.6387184539857947e-05
data,125,0,2,7.4116352359025275e-06
data,125,0,3,4.2781650214713146e-06
data,125,0,4,3.100834756785324e-06
data,125,0,5,2.2849670714198e-06
data,125,1,0,0.00015206172519785085
data,125,1,1,3.0192244654912633e-05
data,125,1,2,1.248671303473162e-05
data,125,1,3,6.531498798105558e-06
data,125,1,4,4.176315787841712e-06
data,125,1,5,3.0211675208542313e-06
data,125,2,0,7.018041452741922e-05
data,125,2,1,1.6130733056589358e-05
data,125,2,2,7.048885714270817e-06
data,125,2,3,3.877976553498861e-06
data,125,2,4,2.5551346291916912e-06
data,125,2,5,1.836553150095484e-06
data,250,0,0,9.236147029442083e-05
data,250,0,1,2.092013828251246e-05
data,250,0,2,1.0361552936844187e-05
data,250,0,3,6.430001480782e-06
data,250,0,4,4.448669738379274e-06
data,250,0,5,3.360093807787138e-06
data,250,1,0,0.00013743661255546645
data,250,1,1,2.8254251041044842e-05
data,250,1,2,1.2697941326423646e-05
data,250,1,3,7.460247517368074e-06
data,250,1,4,5.271205819649101e-06
data,250,1,5,3.905784692970582e-06
data,250,2,0,7.021156553354151e-05
data,250,2,1,1.4286701716267738e-05
data,250,2,2,5.911883593705696e-06
data,250,2,3,3.535015305393398e-06
data,250,2,4,2.5585739397295223e-06
data,250,2,5,1.8584969300099183e-06
data,500,0,0,9.476716444936218e-05
data,500,0,1,2.054775842962921e-05
data,500,0,2,9.661532348695964e-06
data,500,0,3,5.5817079566937995e-06
data,500,0,4,3.818610509774055e-06
data,500,0,5,2.8344323081341804e-06
data,500,1,0,0.00015466536789823787
data,500,1,1,3.463749784926989e-05
data,500,1,2,1.445485758004445e-05
data,500,1,3,8.356679093978168e-06
data,500,1,4,5.485846172356575e-06
data,500,1,5,4.029932241522885e-06
data,500,2,0,8.456761811929748e-05
data,500,2,1,1.8182693897229907e-05
data,500,2,2,7.918032086662367e-06
data,500,2,3,4.491141357926976e-06
data,500,2,4,2.9734580017141292e-06
data,500,2,5,2.2312439973414976e-06
data,1000,0,0,9.70544387180711e-05
data,1000,0,1,2.0564068357056647e-05
data,1000,0,2,9.09768672688216e-06
data,1000,0,3,5.137337288883201e-06
data,1000,0,4,3.2367852344839185e-06
data,1000,0,5,2.4280592575712746e-06
data,1000,1,0,0.0001305167438812585
data,1000,1,1,2.7951005647645665e-05
data,1000,1,2,1.3646768889120643e-05
data,1000,1,3,7.84285510758369e-06
data,1000,1,4,5.159343128907824e-06
data,1000,1,5,3.441961695468921e-06
data,1000,2,0,8.119624458003084e-05
data,1000,2,1,1.4249233066641135e-05
data,1000,2,2,5.968185481324722e-06
data,1000,2,3,3.4564680960018005e-06
data,1000,2,4,2.387569429494351e-06
data,1000,2,5,1.6968525764336056e-06
data,2000,0,0,0.00010611547145176178
data,2000,0,1,2.48389104385878e-05
data,2000,0,2,1.2012909226817652e-05
data,2000,0,3,7.245629255602595e-06
data,2000,0,4,5.027355559196259e-06
data,2000,0,5,3.652277820249616e-06
data,2000,1,0,0.00015955728675395677
data,2000,1,1,2.9895044776727493e-05
data,2000,1,2,1.293903470803989e-05
data,2000,1,3,7.634557913314006e-06
data,2000,1,4,4.857393718357059e-06
data,2000,1,5,3.541993075347766e-06
data,2000,2,0,8.538367429546886e-05
data,2000,2,1,1.55161921901591e-05
data,2000,2,2,6.483970694533514e-06
data,2000,2,3,3.7007392758791912e-06
data,2000,2,4,2.3817861710132376e-06
data,2000,2,5,1.7454740452079523e-06
