horizon,seed,phase,step,epsilon,loss_weighted,loss_total,loss_start,loss_residual,min_weight,awake_fraction
14.0,2,adam,9500,1.0,0.035623256116130604,0.12203378321139234,0.0006680916530400529,0.12136569155835229,0.03395955312365637,0.15714285714285714
14.0,2,adam,10000,1.0,0.03563041612887322,0.12189902611658326,0.0006790724114631466,0.12121995370512012,0.0340653374531275,0.15714285714285714
14.0,2,adam,10500,1.0,0.035595734689712256,0.12172618466420049,0.0006518669108290349,0.12107431775337145,0.03417988464585214,0.15714285714285714
14.0,2,adam,11000,1.0,0.035618668285982306,0.12138587648156236,0.0006882185056172929,0.12069765797594507,0.03452421282313295,0.15714285714285714
14.0,2,adam,11500,1.0,0.035591461896054284,0.12104783093392302,0.0006687629319835762,0.12037906800193944,0.034800653821270074,0.15714285714285714
14.0,2,adam,12000,1.0,0.03560768351787877,0.12068880423701542,0.0006957555534051655,0.11999304868361026,0.03514032067838487,0.15714285714285714
14.0,2,adam,12500,1.0,0.03556742658236457,0.12032692437351211,0.0006688136248837693,0.11965811074862834,0.03541765013312803,0.15714285714285714
14.0,2,adam,13000,1.0,0.03552282865062245,0.11936789470727206,0.00065947211075805,0.11870842259651401,0.03634594424955337,0.15714285714285714
14.0,2,adam,13500,1.0,0.03550425913135637,0.11851864741074097,0.0006730874062692249,0.11784556000447174,0.037141998458906075,0.15714285714285714
14.0,2,adam,14000,1.0,0.03548037908169063,0.11792419408253954,0.000671610535324027,0.11725258354721552,0.03774637058491891,0.15714285714285714
14.0,2,adam,14500,1.0,0.035455800854300154,0.11733267693219203,0.0006691236767402571,0.11666355325545177,0.038366036909354126,0.15714285714285714
14.0,2,adam,15000,1.0,0.035431773433227474,0.11669724296849791,0.0006708041994090675,0.11602643876908884,0.03906492580704276,0.15714285714285714
14.0,2,adam,15500,1.0,0.03539580719401072,0.11581919153879959,0.0006703266742261738,0.11514886486457342,0.04003068353085323,0.15714285714285714
14.0,2,adam,16000,1.0,0.035716390149835096,0.12318614899533396,0.0007366729150539341,0.12244947608028003,0.032720395127015835,0.16071428571428573
14.0,2,adam,16500,1.0,0.03490381028294482,0.10549187754029103,0.0006556661190351705,0.10483621142125586,0.05407109531036148,0.15714285714285714
14.0,2,adam,17000,1.0,0.03381375309784379,0.09148006904382776,0.0004908572132198588,0.0909892118306079,0.07966995254124884,0.15714285714285714
14.0,2,adam,17500,1.0,0.03179768626518629,0.07485970534166402,0.00031824582226474494,0.07454145951939926,0.12503816139677332,0.4107142857142857
14.0,2,adam,18000,1.0,0.03108405149679199,0.07179260905328771,3.4525063359800526e-05,0.07175808398992792,0.1346747747741444,0.4107142857142857
14.0,2,adam,18500,1.0,0.03095645820264927,0.07030386733061159,0.00012509885309296297,0.07017876847751862,0.14109407984207856,0.4107142857142857
14.0,2,adam,19000,1.0,0.030827269811614044,0.06959279556202985,9.559410999465692e-05,0.0694972014520352,0.14392833389203286,0.4142857142857143
14.0,2,adam,19500,1.0,0.030762830762280976,0.06928397842603404,7.426890200785198e-05,0.06920970952402619,0.14507964791611228,0.4142857142857143
14.0,2,adam,20000,1.0,0.030800999195075587,0.06929389832431322,0.00011663673411749295,0.06917726159019573,0.1451889700945801,0.4142857142857143
14.0,2,adam,20500,1.0,0.03087597814704471,0.0692934251829185,0.0002047577326682893,0.06908866745025022,0.1454981882056342,0.4142857142857143
14.0,2,adam,21000,1.0,0.030696856595074918,0.0688563573864817,7.060414942294471e-05,0.06878575323705875,0.146620711050927,0.4142857142857143
14.0,2,adam,21500,1.0,0.030690588408512447,0.06866391062207118,9.929724742342135e-05,0.06856461337464775,0.14735783877805775,0.4142857142857143
